school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address
Bosco Comprehensive School,AD,Secondary,Private,,,9.266255,12.450475,ADSYLN08,"Bosco Comprehensive School, AD State, Nigeria"
Calvary Baptist School,AD,Primary,Private,,,9.911881,11.938433,ADSGUY07,"Calvary Baptist School, AD State, Nigeria"
Albaitul Mukarram Islamic Education Centre Hong,AD,Tertiary,Private,,,10.231045,12.919854,ADSHNG11,"Albaitul Mukarram Islamic Education Centre Hong, AD State, Nigeria"
Arewa Achievers Academy Junior Secondary School,AD,Secondary,Private,,,9.191306,12.516862,ADSYLA06,"Arewa Achievers Academy Junior Secondary School, AD State, Nigeria"
Solid Foundation Academy Kwadadai,AD,Secondary,Private,,,9.7832298,11.9646722,ADSGUY01,"Solid Foundation Academy Kwadadai, AD State, Nigeria"
Madrasatul Misbahudeen,AD,Primary,Private,,,10.274397,13.270535,ADSMUB09,"Madrasatul Misbahudeen, AD State, Nigeria"
Alhiyau Iptidaiya,AD,Primary,Private,,,9.579279,12.915896,ADSFUR02,"Alhiyau Iptidaiya, AD State, Nigeria"
Darul Ulum,AD,Secondary,Private,,,9.320723,12.478416,ADSGRE02,"Darul Ulum, AD State, Nigeria"
Baptist High School,AD,Secondary,Private,,,9.91177,11.938712,ADSGUY07,"Baptist High School, AD State, Nigeria"
Darul Arqam Islamic Institute Yola,AD,Secondary,Private,,,9.200515,12.471335,ADSYLA03,"Darul Arqam Islamic Institute Yola, AD State, Nigeria"
Dalatu Nursery and Primary School,AD,Primary,Private,,,10.175554,12.884769,ADSHNG02,"Dalatu Nursery and Primary School, AD State, Nigeria"
Futuhul Islam Primary School,AD,Primary,Private,,,8.62648,12.382885,ADSJAD11,"Futuhul Islam Primary School, AD State, Nigeria"
Tarbiyatul Islamiya,AD,Primary,Private,,,10.267227,13.256353,ADSGYL06,"Tarbiyatul Islamiya, AD State, Nigeria"
El Shadai Nursery and Primary,AD,Primary,Private,,,9.266914,12.439934,ADSYLN06,"El Shadai Nursery and Primary, AD State, Nigeria"
Eyn Jimeta Academy,AD,Secondary,Private,,,9.26572,12.451343,ADSYLN08,"Eyn Jimeta Academy, AD State, Nigeria"
Redeemers Basic School,AD,Secondary,Private,,,8.724413,12.585045,ADSJAD04,"Redeemers Basic School, AD State, Nigeria"
Senator Mahmoud Waziri Memorial Academy Jabbi Hubbare,AD,Primary,Private,,,9.2109866,12.4776103,ADSYLA05,"Senator Mahmoud Waziri Memorial Academy Jabbi Hubbare, AD State, Nigeria"
Our Lady of Good Counsel Junior Secondary School,AD,Secondary,Private,,,10.15999,12.734128,ADSGMB07,"Our Lady of Good Counsel Junior Secondary School, AD State, Nigeria"
Dominion Academy,AD,Secondary,Private,,,8.774273,12.615795,ADSJAD04,"Dominion Academy, AD State, Nigeria"
