id,relid,year,active_year,code_status,type_of_violence,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,deaths
42097,NIG-2011-1-793-52,2011,TRUE,Clear,1,Maiduguri town,Maiduguri,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42098,NIG-2011-1-793-53,2011,TRUE,Clear,1,Mafa town,Mafa village near Maiduguri,Borno state,Mafa lga,11.92543,13.60269,146548,Nigeria,NGA,475,Africa,1,1,2
42099,NIG-2011-1-793-54,2011,TRUE,Clear,1,Maiduguri town,Maiduguri,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42100,NIG-2011-1-793-55,2011,TRUE,Clear,1,Maiduguri town,Maiduguri,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42102,NIG-2011-1-793-56,2011,TRUE,Clear,1,Gombe town,"34th Mobile Police Force Squadron base on Kwami Road, Gombe state",Gombe state,Gombe lga,10.28969,11.16729,144383,Nigeria,NGA,475,Africa,1,1,4
42103,NIG-2011-1-793-57,2011,TRUE,Clear,1,Saminaka town,Saminaka,Kaduna state,Lere lga,10.41403,8.68279,144378,Nigeria,NGA,475,Africa,1,1,1
42104,NIG-2011-1-793-58,2011,TRUE,Clear,1,Damaturu town,Damaturu in Yobe state,Yobe state,Damaturu lga,11.747,11.9608,146544,Nigeria,NGA,475,Africa,1,1,0
42105,NIG-2011-1-793-59,2011,TRUE,Clear,1,Maiduguri town,Maiduguri,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42101,NIG-2011-1-793-60,2011,TRUE,Clear,1,Damaturu town,Damaturu,Yobe state,Damaturu lga,11.747,11.9608,146544,Nigeria,NGA,475,Africa,1,1,101
42083,NIG-2011-1-793-61,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
42106,NIG-2011-1-793-62,2011,TRUE,Clear,1,Mainok town,Mainok town,Borno state,Kaga lga,11.83022,12.63067,146546,Nigeria,NGA,475,Africa,1,1,0
42107,NIG-2011-1-793-63,2011,TRUE,Clear,1,Maiduguri town,Maiduguri town (Gwange Ward),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,3
42108,NIG-2011-1-793-64,2011,TRUE,Clear,1,Geidam town,Gaidam town,Yobe state,Geidam lga,12.897,11.9304,147984,Nigeria,NGA,475,Africa,1,1,6
42110,NIG-2011-1-793-65,2011,TRUE,Clear,1,Maiduguri town,Maiduguri,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
42111,NIG-2011-1-793-66,2011,TRUE,Clear,1,Azare town,Azare,Bauchi state,Katagum lga,11.6765,10.1948,146541,Nigeria,NGA,475,Africa,1,1,6
42112,NIG-2011-1-793-67,2011,TRUE,Clear,1,Kano town,Kano,Kano state,,11.994354,8.513807,146538,Nigeria,NGA,475,Africa,1,1,7
42113,NIG-2011-1-793-68,2011,TRUE,Clear,1,Sokoto town,Sokoto town,Sokoto state,Wamakko lga,13.060925,5.239018,148691,Nigeria,NGA,475,Africa,1,1,1
42114,NIG-2011-1-793-69,2011,TRUE,Clear,1,Damaturu town,Damaturu,Yobe state,Damaturu lga,11.747,11.9608,146544,Nigeria,NGA,475,Africa,1,1,19
42115,NIG-2011-1-793-70,2011,TRUE,Clear,1,Potiskum town,Potiskum,Yobe state,Potiskum lga,11.7091,11.0694,146543,Nigeria,NGA,475,Africa,1,1,7
42116,NIG-2011-1-793-71,2011,TRUE,Clear,1,Maiduguri town,Maiduguri,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,20
42117,NIG-2011-1-793-72,2011,TRUE,Clear,1,Damaturu town,Damaturu,Yobe state,Damaturu lga,11.747,11.9608,146544,Nigeria,NGA,475,Africa,1,1,4
42118,NIG-2011-1-793-73,2011,TRUE,Clear,1,Jos town,Jos,Plateau state,Jos North lga,9.916667,8.9,143658,Nigeria,NGA,475,Africa,1,1,1
42120,NIG-2011-1-793-74,2011,TRUE,Clear,1,Damaturu town,Damaturu,Yobe state,Damaturu lga,11.747,11.9608,146544,Nigeria,NGA,475,Africa,1,1,4
41383,NIG-2012-1-793-2,2012,TRUE,Clear,1,Birniwa town,Birniwa town,Jigawa state,Birniwa lga,12.7907,10.23614,147981,Nigeria,NGA,475,Africa,1,1,1
41315,NIG-2012-1-793-3,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,4
41310,NIG-2012-1-793-4,2012,TRUE,Clear,1,Potiskum town,Potiskum town,Yobe state,Potiskum lga,11.7091,11.0694,146543,Nigeria,NGA,475,Africa,1,1,2
41321,NIG-2012-1-793-5,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
41309,NIG-2012-1-793-6,2012,TRUE,Clear,1,Damaturu town,Damaturu town,Yobe state,Damaturu lga,11.747,11.9608,146544,Nigeria,NGA,475,Africa,1,1,1
41357,NIG-2012-1-793-7,2012,TRUE,Clear,1,Biu town,Biu town,Borno state,Biu lga,10.61285,12.19458,145105,Nigeria,NGA,475,Africa,1,1,2
41384,NIG-2012-1-793-8,2012,TRUE,Clear,1,Potiskum town,Potiskum town,Yobe state,Potiskum lga,11.7091,11.0694,146543,Nigeria,NGA,475,Africa,1,1,8
41385,NIG-2012-1-793-10,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
41387,NIG-2012-1-793-12,2012,TRUE,Clear,1,Mubi town,Mubi town,Adamawa state,Mubi North lga,10.26761,13.26436,144387,Nigeria,NGA,475,Africa,1,1,0
41358,NIG-2012-1-793-11,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town (Ajilari Cross area ),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,2
41388,NIG-2012-1-793-13,2012,TRUE,Clear,1,Kano town,Kano town,Kano state,,11.994354,8.513807,146538,Nigeria,NGA,475,Africa,1,1,185
41389,NIG-2012-1-793-14,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town (Pompomari ward in),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,4
41391,NIG-2012-1-793-15,2012,TRUE,Clear,1,Bauchi town,Bauchi town (Tafawa Balewa area of),Bauchi state,Bauchi lga,10.313441,9.843273,144380,Nigeria,NGA,475,Africa,1,1,0
41392,NIG-2012-1-793-17,2012,TRUE,Clear,1,Kano town,Kano town,Kano state,,11.994354,8.513807,146538,Nigeria,NGA,475,Africa,1,1,1
41390,NIG-2012-1-793-16,2012,TRUE,Clear,1,Kano town,"Kano town (Tsamninya, eastern Bypass)",Kano state,,11.994354,8.513807,146538,Nigeria,NGA,475,Africa,1,1,3
41398,NIG-2012-1-793-22,2012,TRUE,Clear,1,Kano town,Kano town (Mandawari neighbourhood),Kano state,,11.994354,8.513807,146538,Nigeria,NGA,475,Africa,1,1,1
41401,NIG-2012-1-793-25,2012,TRUE,Clear,1,Borno state,Borno state,Borno state,,11.5,13,146547,Nigeria,NGA,475,Africa,1,2,0
41400,NIG-2012-1-793-24,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,11
41403,NIG-2012-1-793-26,2012,TRUE,Clear,1,Kaduna town,Kaduna city,Kaduna state,,10.52224,7.43828,145095,Nigeria,NGA,475,Africa,1,1,0
41402,NIG-2012-1-793-27,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town (London Chiki),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
41405,NIG-2012-1-793-31,2012,TRUE,Clear,1,Kano town,Kano town (Mariri neighbourhood),Kano state,,11.994354,8.513807,146538,Nigeria,NGA,475,Africa,1,1,8
41406,NIG-2012-1-793-33,2012,TRUE,Clear,1,Kaduna town,Kaduna city,Kaduna state,,10.52224,7.43828,145095,Nigeria,NGA,475,Africa,1,1,3
41261,NIG-2012-1-793-32,2012,TRUE,Clear,1,Kano town,Kano town (Sharada Police Station),Kano state,,11.994354,8.513807,146538,Nigeria,NGA,475,Africa,1,1,3
41410,NIG-2012-1-793-35,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,4
41413,NIG-2012-1-793-37,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town (Budun area),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,12
41408,NIG-2012-1-793-36,2012,TRUE,Clear,1,Kaduna state,Kaduna state,Kaduna state,,10.333333,7.75,144376,Nigeria,NGA,475,Africa,1,2,1
41415,NIG-2012-1-793-38,2012,TRUE,Clear,1,Minna town,Minna town,Niger state,Chanchaga lga,9.61389,6.55694,143654,Nigeria,NGA,475,Africa,1,1,2
41416,NIG-2012-1-793-39,2012,TRUE,Clear,1,Koton-Karfe town,Koton Karfe prison,Kogi state,Kogi lga,8.0912,6.79782,141494,Nigeria,NGA,475,Africa,1,1,1
41409,NIG-2012-1-793-40,2012,TRUE,Clear,1,Yobe state,Yobe State,Yobe state,,12,11.5,147264,Nigeria,NGA,475,Africa,1,2,1
41262,NIG-2012-1-793-41,2012,TRUE,Clear,1,Kaduna state,Kaduna state,Kaduna state,,10.333333,7.75,144376,Nigeria,NGA,475,Africa,1,1,1
41418,NIG-2012-1-793-42,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town (Baga Fish Market),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,20
41419,NIG-2012-1-793-43,2012,TRUE,Clear,1,Lapai town,Lapai town,Niger state,Lapai lga,9.05,6.56667,142934,Nigeria,NGA,475,Africa,1,1,2
41422,NIG-2012-1-793-44,2012,TRUE,Clear,1,Kano town,Kano town,Kano state,,11.994354,8.513807,146538,Nigeria,NGA,475,Africa,1,1,4
41425,NIG-2012-1-793-45,2012,TRUE,Clear,1,Gombe town,Gombe town,Gombe state,Gombe lga,10.28969,11.16729,144383,Nigeria,NGA,475,Africa,1,1,12
41420,NIG-2012-1-793-46,2012,TRUE,Clear,1,Kaduna town,Kaduna town (Kakuri area),Kaduna state,,10.52224,7.43828,145095,Nigeria,NGA,475,Africa,1,1,0
41423,NIG-2012-1-793-47,2012,TRUE,Clear,1,Madagali lga,Shuwa village,Adamawa state,Madagali lga,10.85219,13.54889,145108,Nigeria,NGA,475,Africa,1,1,3
41427,NIG-2012-1-793-48,2012,TRUE,Clear,1,Jama'are town,Jama'are town,Bauchi state,Jama'are lga,11.6698,9.928,146540,Nigeria,NGA,475,Africa,1,1,3
41421,NIG-2012-1-793-50,2012,TRUE,Clear,1,Demsa lga,Demsa LGA,Adamawa state,Demsa lga,9.416667,12.133333,142945,Nigeria,NGA,475,Africa,1,1,0
41432,NIG-2012-1-793-53,2012,TRUE,Clear,1,Maiduguri town,Maiduguri town (Bayan-Quarters area in),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,4
41297,NIG-2012-1-793-54,2012,TRUE,Clear,1,Maiduguri town,Maiduguri LGA,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,1
