school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Filingo Primary School,AD,Primary,Public,,,9.243502,12.873201,ADSFUR04,"Filingo Primary School, AD State, Nigeria",Open
Manuf Nursery and Primary School,AD,Primary,Public,,,9.495553,12.580075,ADSGRE10,"Manuf Nursery and Primary School, AD State, Nigeria",Unknown
Kirchinga Central Primary School,AD,Primary,Public,,,10.782167,13.350675,ADSMDG05,"Kirchinga Central Primary School, AD State, Nigeria",Unknown
Jarandi Leko Primary School,AD,Primary,Public,,,8.665856,12.304192,ADSJAD06,"Jarandi Leko Primary School, AD State, Nigeria",Open
Dong II Primary School,AD,Primary,Public,,,9.402843,11.910613,ADSDSA05,"Dong II Primary School, AD State, Nigeria",Open
Kautel Primary School,AD,Primary,Public,,,10.119921,13.173104,ADSMAH07,"Kautel Primary School, AD State, Nigeria",Unknown
Gangnai Primary School,AD,Primary,Public,,,8.753427,12.091731,ADSJAD08,"Gangnai Primary School, AD State, Nigeria",Open
Dageri Gada Primary School,AD,Primary,Public,,,8.696028,12.238046,ADSJAD10,"Dageri Gada Primary School, AD State, Nigeria",Unknown
Old Government Reserved Area Primary School,AD,Primary,Public,,,9.26565,12.457309,ADSYLN02,"Old Government Reserved Area Primary School, AD State, Nigeria",Open
Wuro Mango Primary School,AD,Primary,Public,,,9.2986647,12.8211586,ADSFUR08,"Wuro Mango Primary School, AD State, Nigeria",Unknown
Dumne B Primary School Dumne,AD,Primary,Public,,,9.790244,12.393773,ADSSNG02,"Dumne B Primary School Dumne, AD State, Nigeria",Unknown
Mbachure Primary School,AD,Primary,Public,,,9.248376,12.426147,ADSYLN06,"Mbachure Primary School, AD State, Nigeria",Open
Nasarawo I Primary School,AD,Primary,Public,,,9.442731,12.041147,ADSDSA10,"Nasarawo I Primary School, AD State, Nigeria",Unknown
Heritage Academy Nursery and Primary School Jamkise,AD,Primary,Private,,,9.9965324,11.8988939,ADSGUY02,"Heritage Academy Nursery and Primary School Jamkise, AD State, Nigeria",Unknown
Capital Nursery and Primary School,AD,Primary,Public,,,9.277476,12.431383,ADSYLN09,"Capital Nursery and Primary School, AD State, Nigeria",Unknown
Frontier International,AD,Primary,Private,,,10.118958,12.699814,ADSGMB09,"Frontier International, AD State, Nigeria",Unknown
Kolere Nursery Primary School,AD,Primary,Public,,,10.269412,13.276342,ADSMUB04,"Kolere Nursery Primary School, AD State, Nigeria",Unknown
Goduwo Primary School,AD,Primary,Public,,,9.399367,12.31027,ADSYLA09,"Goduwo Primary School, AD State, Nigeria",Open
